"date","trackedTime_EST","river","shift","radioID","tempID","status","power","source","fishNotes","lon","lat","habitat","habitatExtra","position","substrate","substrateExtra","shade","airTemp","cloud","precip","totalDischarge","ftTime_EST","startTime_EST","endTime_EST","streamNotes","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain","isoID","isoTime_EST","length","weight","sex","type","geneticSam","blood","section","collectionNotes","has_matching_receiver"
2024-06-28,2024-06-28 10:52:25,"DICKEY","day","29","304",NA,208,"receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"Mostly cloudy","No rain",NA,NA,"06:20","11:20","Late start could not get into lab. Key pad not working. Found 46 dead tag. Still cannot find 29 assumed dead. 50 51 32 missing.","42.4422600 N 72.3739455 W",74,"42.4424417 N 72.3691275 W",74,"DCKY20240621035EST","10:35",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-28,2024-06-28 07:42:20,"DICKEY","day","32","298",NA,85,"receiver",NA,-72.36936,42.44236,NA,NA,NA,NA,NA,NA,55,"Mostly cloudy","No rain",NA,NA,"06:20","11:20","Late start could not get into lab. Key pad not working. Found 46 dead tag. Still cannot find 29 assumed dead. 50 51 32 missing.","42.4422600 N 72.3739455 W",74,"42.4424417 N 72.3691275 W",74,"DCKY20240621035EST","10:35",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-28,2024-06-28 17:34:03,"DICKEY","night","29","304",NA,124,"receiver",NA,-72.3716667,42.4439517,NA,NA,NA,NA,NA,NA,77,"Clear","No rain",NA,NA,"17:25","22:38",NA,"42.4442496 degrees N, 72.3718401 degrees W",70,"42.4427441 degrees N, 72.3697702 degrees W",65,"DCKY202406281849EST","18:49",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-30,2024-06-30 05:32:41,"DRY UPPER","day","52","326",NA,37,"receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Cloudy","No rain",NA,NA,"03:57","08:55",NA,"Lat: 42.6626558 N Long: 72.5044938 W",85,"Lat: 42.6688089 N Long: 72.5073252 W",90,"DRYU202406300528EST","05:28",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024-07-01 03:35:44,"DICKEY","day","29","304",NA,175,"receiver",NA,-72.3718883,42.4442683,NA,NA,NA,NA,NA,NA,59,"Clear","No rain",NA,NA,"03:28","08:37",NA,"Lat: 42.4443189 N Long: 72.3720856 W",80,"Lat: 42.4416066 N Long: 72.3683132 W",80,"DCKY20240701445EST","04:45",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,2024-07-02 05:06:34,"AMETHYST","day","15","327",NA,46,"receiver",NA,-72.4611733,42.3813217,NA,NA,NA,NA,NA,NA,64,"Clear","No rain",NA,NA,"03:23",NA,NA,"42.3792378 N 72.4631544 W",75,"42.3807546 N. 72.4584560 W",75,"AMTH202407020529EST","05:29",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,2024-07-02 16:24:50,"AMETHYST","night","15","327",NA,32,"receiver",NA,-72.4635033,42.379265,NA,NA,NA,NA,NA,NA,82,"Clear","No rain",NA,NA,"13:00","18:18",NA,"Lat:42.3806414 N Long:72.4654265 W",75,"Harris: Lat- 42.3806381N Long- 72.4586440 W Buffim: Lat-42.3820960 N Long-72.4583184 W",65,"Amth20240701333EST","13:33",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,2024-07-02 16:25:02,"AMETHYST","night","59","335",NA,17,"receiver",NA,-72.4635033,42.37927,NA,NA,NA,NA,NA,NA,82,"Clear","No rain",NA,NA,"13:00","18:18",NA,"Lat:42.3806414 N Long:72.4654265 W",75,"Harris: Lat- 42.3806381N Long- 72.4586440 W Buffim: Lat-42.3820960 N Long-72.4583184 W",65,"Amth20240701333EST","13:33",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-10,2024-07-10 11:23:28,"DICKEY","day","32","298",NA,83,"receiver",NA,-72.3729414,42.4431533,NA,NA,NA,NA,NA,NA,83,"Cloudy","No rain",NA,NA,"07:13","12:43",NA,"42.4419963.   -72.3735598",74,"42.4373994 N 72.3647180 W",74,"DCKY20240710749EST","07:49",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-11,2024-07-11 17:49:57,"AMETHYST","night","15","327",NA,34,"receiver",NA,-72.4621967,42.3800983,NA,NA,NA,NA,NA,NA,83,"Partly cloudy/partly sunny","No rain",NA,NA,"17:22","22:37",NA,"Lat: 42.3802241 N Long: 72.4623015",85,"Buffim- Lat: 42.3821137 N Long: 72.4566635 W Harris- Lat:",85,"BUFF202407112026EST, HARR202407112031EST, AMTH202407112036EST","20:26",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-11,2024-07-11 17:49:45,"AMETHYST","night","61","336",NA,25,"receiver",NA,-72.4622083,42.380095,NA,NA,NA,NA,NA,NA,83,"Partly cloudy/partly sunny","No rain",NA,NA,"17:22","22:37",NA,"Lat: 42.3802241 N Long: 72.4623015",85,"Buffim- Lat: 42.3821137 N Long: 72.4566635 W Harris- Lat:",85,"BUFF202407112026EST, HARR202407112031EST, AMTH202407112036EST","20:26",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-12,2024-07-12 12:41:49,"DRY UPPER","day","52","326",NA,67,"receiver",NA,-72.5040317,42.6614483,NA,NA,NA,NA,NA,NA,75,"Clear","No rain",NA,NA,"07:35","13:00","Found 42 and 24 dead tags. 53 in the woods cannot find tag. 52 did not show up on reader.","42.65888 - 72.50455",74,"42.6683 -72.50843",74,"DRYU202407120839EST","08:39",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-12,2024-07-12 12:21:58,"DRY UPPER","day","53","0",NA,195,"receiver",NA,-72.5035883,42.6640967,NA,NA,NA,NA,NA,NA,75,"Clear","No rain",NA,NA,"07:35","13:00","Found 42 and 24 dead tags. 53 in the woods cannot find tag. 52 did not show up on reader.","42.65888 - 72.50455",74,"42.6683 -72.50843",74,"DRYU202407120839EST","08:39",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-12,2024-07-12 18:27:27,"DRY UPPER","night","47","327",NA,47,"receiver",NA,-72.5034433,42.6654683,NA,NA,NA,NA,NA,NA,84,"Cloudy","No rain",NA,NA,"17:18","22:52",NA,"42.6653303 degrees N, 72.5034311 degrees W",75,"Lat: 42.6682217 N Long: 72.5067582 W",75,"DRYU202407121758EST","17:58",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-18,2024-07-18 06:49:22,"DRY UPPER","day","53","0",NA,190,"receiver",NA,-72.5036167,42.6641517,NA,NA,NA,NA,NA,NA,68,"Mostly cloudy","No rain",NA,NA,"03:45","09:12","Walked all the way to lower dry looking for missing fis.","42.6586850 N 72.5041881",75,"42.6691445 N 72.5075889 W",75,"DRYU202407180447EST","04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-18,2024-07-18 15:27:11,"DRY UPPER","night","52","326",NA,53,"receiver",NA,-72.504205,42.6632033,NA,NA,NA,NA,NA,NA,83,"Clear","No rain",NA,NA,"12:55","18:27",NA,"42.6626352 N 72.5044535 W",75,"Lat: 42.6691061 N Long: 72.5075635 W",75,"DRYU202407181425EST","14:25",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-23,2024-07-23 19:54:23,"DRY UPPER","night","52","326",NA,57,"receiver",NA,-72.504215,42.662695,NA,NA,NA,NA,NA,NA,71,"Cloudy","No rain",NA,NA,"17:13","22:43","There were a ton of 999/ error codes.","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80,"DRYU202407231815EST","18:15",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,2024-07-25 10:25:52,"AMETHYST","day","15","327",NA,54,"receiver",NA,-72.4583917,42.3820383,NA,NA,NA,NA,NA,NA,72,"Mostly cloudy","No rain",NA,NA,"07:19","12:53",NA,"42.3811548 N 72.4602750 W",80,"42.3020057 N 72.4583703 W",80,"AMTH202407250833EST, HARR202407250833EST, BUFF202407250833EST","08:33",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,2024-07-25 17:34:16,"AMETHYST","night","58","0",NA,49,"receiver",NA,-72.4584631,42.3821383,NA,NA,NA,NA,NA,NA,77,"Cloudy","No rain",NA,NA,"17:16","22:43",NA,"Lat: 42.3794408 N Long: 72.4629074 W",75,"Buffim- Lat: 42.3820122 N Long: 72.4584062 W Harris- Lat: 42.3805896 N Long: 72.4587733 W",75,"HARR202407251920EST, AMTH202407252037EST, BUFF202407251815EST","18:15",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,2024-07-31 05:43:38,"AMETHYST","day","59","335",NA,32,"receiver",NA,-72.4583233,42.3807383,NA,NA,NA,NA,NA,NA,79,"Cloudy","Moderate rain",NA,NA,"03:50","08:06",NA,"42.3815085 N 72.4605129 W",70,"42.3807633 N 72.4584379 W",70,"HARR202407310650EST AMTH202407310658EST BUFF202407310447EST","04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,2024-07-31 06:21:50,"AMETHYST","day","61","336",NA,57,"receiver",NA,-72.4605533,42.3814733,NA,NA,NA,NA,NA,NA,79,"Cloudy","Moderate rain",NA,NA,"03:50","08:06",NA,"42.3815085 N 72.4605129 W",70,"42.3807633 N 72.4584379 W",70,"HARR202407310650EST AMTH202407310658EST BUFF202407310447EST","04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-02,2024-08-02 13:11:06,"DRY UPPER","night","55","0",NA,57,"receiver",NA,-72.5034033,42.660775,NA,NA,NA,NA,NA,NA,91,"Mostly cloudy","No rain",NA,NA,"13:08","18:30",NA,"42.6586227, 72.50442678",75,"42.6691425, 72.5076318",75,"DRYU202408021524EST","15:24",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-05,2024-08-05 11:19:55,"DRY UPPER","day","16","323",NA,49,"receiver",NA,-72.5038767,42.6526483,NA,NA,NA,NA,NA,NA,60,"Cloudy","Weak rain",NA,NA,"07:19","12:43",NA,"42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,"DRY202408071031EST","10:31",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-05,2024-08-05 11:21:30,"DRY UPPER","day","17","318",NA,49,"receiver",NA,-72.5038433,42.6526983,NA,NA,NA,NA,NA,NA,60,"Cloudy","Weak rain",NA,NA,"07:19","12:43",NA,"42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,"DRY202408071031EST","10:31",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-05,2024-08-05 11:33:56,"DRY UPPER","day","29.1","325",NA,44,"receiver",NA,-72.5037267,42.6538117,NA,NA,NA,NA,NA,NA,60,"Cloudy","Weak rain",NA,NA,"07:19","12:43",NA,"42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,"DRY202408071031EST","10:31",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-05,2024-08-05 10:45:21,"DRY UPPER","day","30.1","319",NA,24,"receiver",NA,-72.50385,42.6506967,NA,NA,NA,NA,NA,NA,60,"Cloudy","Weak rain",NA,NA,"07:19","12:43",NA,"42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,"DRY202408071031EST","10:31",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-08,2024-08-08 08:09:12,"AMETHYST","day","15","327",NA,68,"receiver",NA,-72.4599483,42.381315,NA,NA,NA,NA,NA,NA,63,"Mostly cloudy","No rain",NA,NA,"07:35","13:34",NA,"42.3794084 N 72.4628350W",70,"42.3808097 N 72.4584604 W",70,"BUFF20240801040EST HARR202408081041EST AMTH202408081045EST","10:40",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-13,2024-08-13 14:59:42,"AMETHYST","night","15","327",NA,27,"receiver",NA,-72.4559967,42.3834667,NA,NA,NA,NA,NA,NA,79,"Partly cloudy/partly sunny","No rain",NA,NA,"13:07","19:02",NA,"42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75,"BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST","15:16",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-16,2024-08-16 05:45:33,"DRY UPPER","day","17","318",NA,40,"receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"Cloudy","No rain",NA,NA,"04:20","09:39",NA,"42.6586505 degrees N, 72.5040742 degrees W",75,"42.6692778 degrees N, 72.5076803 degrees W",75,"DRYU202408160524EST","05:24",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-23,2024-07-23 09:06:00,"DRY UPPER","day","23","322","RECOVERED",NA,"iPad","Dead have tag - tag not reading on receiver - changed from 55 to 23 because QAQC showed that 23 had been mistakenly noted down as 55",-72.50408133,42.666032,"Pool","Woody_debris",NA,NA,"Rock,Sand","Mostly shaded",83,"Mostly cloudy","Moderate rain",0.13,"2024-07-23 08:27:20","07:27","13:24",NA,"42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75,"DRYU202407230833EST","08:33",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2024-08-21,2024-08-21 10:30:00,"UNDERHILL","day","43","309","RECOVERED",NA,"iPad","Recollected alive - tag not reading",-72.32588067,42.44536283,"Riffle",NA,"Center",NA,"Rock,Sand","Mostly shaded",63,"Clear","No rain",1.21,"2024-08-21 09:25:52","08:25","13:00","Day of fish collection",NA,NA,NA,NA,"UNDH202408210929EST","09:29",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2024-08-22,2024-08-22 11:45:00,"DRY UPPER","day","39.1","304","RECOVERED",NA,"iPad","Tag not reading on site, most likely 39.1.",-72.50675367,42.66820533,"Pool","Undercut_bank,Woody_debris","Right",NA,"Rock,Sand,Pebble","Mostly shaded",60,"Clear","No rain",0.1,"2024-08-22 09:12:22","07:55","16:30",NA,NA,NA,NA,NA,"DRYU202408220918EST","09:18",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
