"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","ftTime_EST"
"2024-06-25","2024-06-25 05:59:00","DRY UPPER","day",55,NA,"","Pool","Woody_debris","Center","Rock",NA,"Mostly shaded",-72.504513,42.66767217,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:02:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris","Right","Mud",NA,"Mostly shaded",-72.50455417,42.66774283,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:07:00","DRY UPPER","day",53,NA,"","Pool","Woody_debris","Right","Mud",NA,"Mostly shaded",-72.50450583,42.6676115,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:11:00","DRY UPPER","day",22,NA,"","Pool","Root_bundle,Woody_debris","Left","Mud",NA,"Lightly shaded",-72.50444917,42.667668,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:20:00","DRY UPPER","day",21,NA,"","Pool","Woody_debris,Undercut_bank","Right","Rock",NA,"Mostly shaded",-72.50505733,42.66703983,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:21:00","DRY UPPER","day",25,NA,"","Pool","Undercut_bank,Woody_debris","Right","Rock",NA,"Mostly shaded",-72.505074,42.66704233,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:26:00","DRY UPPER","day",24,NA,"","Pool","Undercut_bank,Woody_debris","Right","Rock",NA,"Mostly shaded",-72.50499317,42.66704783,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:34:00","DRY UPPER","day",54,NA,"","Pool","Undercut_bank","Left","Rock",NA,"Mostly shaded",-72.505046,42.66688283,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:35:00","DRY UPPER","day",48,NA,"","Pool","Woody_debris","Center","Rock",NA,"Mostly shaded",-72.50506383,42.66683917,"","iPad",0.03,"2024-06-25 07:21:55"
"2024-06-25","2024-06-25 06:48:00","DRY UPPER","day",49,NA,"","Pool","Woody_debris,Root_bundle","Right","Rock",NA,"Mostly shaded",-72.5039615,42.66603,"","iPad",0.03,"2024-06-25 07:21:55"
