"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","ftDischarge_cfs","ftTime_EST"
"2024-07-09","2024-07-09 07:30:00","UNDERHILL","day",41,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.3244695,42.444884,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 07:49:00","UNDERHILL","day",40,NA,"","Riffle","Woody_debris","",NA,"Rock,Pebble","Mostly shaded",-72.32512683,42.445103,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 07:57:00","UNDERHILL","day",34,NA,"","Riffle","","Center",NA,"Rock","",-72.32645117,42.44536767,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:08:00","UNDERHILL","day",33,NA,"","Riffle","Undercut_bank","Right",NA,"Rock","Mostly shaded",-72.3262415,42.445333,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:18:00","UNDERHILL","day",36,NA,"","Pool","","Center",NA,"Rock,Pebble,Sand","Mostly shaded",-72.32752017,42.44626233,"Moved up from where we thought it might have died.","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:25:00","UNDERHILL","day",27,NA,"","Riffle","","Center",NA,"Rock","Mostly shaded",-72.3277965,42.44520683,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:26:00","UNDERHILL","day",45,NA,"","Riffle","","Center",NA,"Rock","",-72.327738,42.445154,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:39:00","UNDERHILL","day",44,NA,"","Pool","Woody_debris","Center",NA,"Rock","Mostly shaded",-72.32799383,42.44504,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 08:52:00","UNDERHILL","day",35,NA,"","Pool","","Center",NA,"Rock,Boulder","Mostly shaded",-72.32962433,42.44372783,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 09:29:00","UNDERHILL","day",35,NA,"","Pool","","Center",NA,"Rock","Mostly shaded",-72.32960483,42.44369667,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 09:41:00","UNDERHILL","day",44,NA,"","Pool","Woody_debris","Right",NA,"Rock","Mostly shaded",-72.32813017,42.44490767,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 09:45:00","UNDERHILL","day",45,NA,"","Run","","Center",NA,"Rock","Mostly shaded",-72.327629,42.4451095,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 09:52:00","UNDERHILL","day",27,NA,"","Riffle","","Right",NA,"Rock","Mostly shaded",-72.32756567,42.44510917,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 09:59:00","UNDERHILL","day",36,NA,"","Pool","","Center",NA,"Rock,Pebble","",-72.32751267,42.446366,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 10:06:00","UNDERHILL","day",33,NA,"","Riffle","","Center",NA,"Rock","",-72.326456,42.44532383,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 10:16:00","UNDERHILL","day",34,NA,"","","","",NA,"","",-72.326325,42.44533867,"34 and 33 together the first pass. 34 easier to read. 33 would blip and 34 would show up and not allow me To see signal for 33. This pass no 34 at all.","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 10:23:00","UNDERHILL","day",40,NA,"","Run","","Center",NA,"Sand,Rock","",-72.32527367,42.44507533,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 10:29:00","UNDERHILL","day",41,NA,"","Pool","","Right",NA,"Rock,Sand","",-72.3244955,42.44486217,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:24:00","UNDERHILL","day",41,NA,"","Pool","","Right",NA,"Rock,Sand","",-72.32459467,42.44490533,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:28:00","UNDERHILL","day",40,NA,"","Run","Woody_debris","Center",NA,"Rock,Sand","Mostly shaded",-72.3253485,42.44524167,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:37:00","UNDERHILL","day",34,NA,"","Riffle","","Center",NA,"","Mostly shaded",-72.32651667,42.445385,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:53:00","UNDERHILL","day",27,NA,"","Pool","","Right",NA,"Rock,Sand","Mostly shaded",-72.32772967,42.445165,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:53:00","UNDERHILL","day",45,NA,"","Pool","","Right",NA,"Sand,Rock","Mostly shaded",-72.32777617,42.44527933,"","iPad",2.78,"2024-07-09 09:13:28"
"2024-07-09","2024-07-09 11:57:00","UNDERHILL","day",44,NA,"","Pool","Woody_debris","Right",NA,"Sand,Rock","Mostly shaded",-72.32799033,42.44488733,"","iPad",2.78,"2024-07-09 09:13:28"
