"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","ftTime_EST","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"2024-07-16","2024-07-16 03:49:00","DICKEY","day",31,NA,"","Riffle","","Center",NA,"Rock","Night",-72.37120833,42.44407783,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 03:58:00","DICKEY","day",28,NA,"","Pool","","Center",NA,"Sand,Mud","Night",-72.37056417,42.44363967,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 04:04:00","DICKEY","day",26,NA,"","Riffle","","Center",NA,"Rock","Night",-72.37029533,42.44344783,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 04:05:00","DICKEY","day",37,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.370182,42.44341783,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 05:17:00","DICKEY","day",31,NA,"","Riffle","","Center",NA,"Rock,Sand","Fully shaded",-72.37131917,42.44392617,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 05:21:00","DICKEY","day",28,NA,"","Pool","","Center",NA,"Rock,Pebble,Sand","Fully shaded",-72.37059117,42.44357017,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 05:25:00","DICKEY","day",26,NA,"","Run","","Right",NA,"Rock","Fully shaded",-72.37029383,42.443569,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 05:26:00","DICKEY","day",37,NA,"","Run","","Center",NA,"Rock","Fully shaded",-72.3702695,42.443581,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 05:56:00","DICKEY","day",38,NA,"","Run","Root_bundle","Right",NA,"Rock,Sand","Fully shaded",-72.37341167,42.44445967,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"2024-07-16","2024-07-16 06:34:00","DICKEY","day",32,NA,"","Run","","Left",NA,"Pebble,Granule,Sand","Lightly shaded",-72.37339333,42.44398933,"","iPad",1.17,"2024-07-16 05:02:37",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
