"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","ftDischarge_cfs","ftTime_EST","airTemp_F","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"2024-07-23","2024-07-23 07:28:00","DRY UPPER","day",39.1,NA,"","Pool","Woody_debris","Right",NA,"Rock,Sand","Mostly shaded",-72.50687417,42.66811633,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 07:56:00","DRY UPPER","day",46.1,NA,"RECOVERED","","","",NA,"","",-72.507004,42.668273,"Dead","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 08:07:00","DRY UPPER","day",29.1,NA,"","Riffle","","Left",NA,"","Mostly shaded",-72.50598283,42.6683675,"Very shallow water. Can’t see fish or tag.","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 08:44:00","DRY UPPER","day",30.1,NA,"","Pool","Woody_debris","Left",NA,"Mud","Mostly shaded",-72.504952,42.66816733,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 08:52:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud,Sand","Fully shaded",-72.50460033,42.66775367,"Up under cutback.","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 09:06:00","DRY UPPER","day",23,NA,"RECOVERED","Pool","Woody_debris","",NA,"Rock,Sand","Mostly shaded",-72.50408133,42.666032,"Dead have tag - tag not reading on receiver - changed from 55 to 23 because QAQC showed that 23 had been mistakenly noted down as 55","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 09:06:00","DRY UPPER","day",54,NA,"","Pool","Woody_debris","",NA,"Rock,Sand","Mostly shaded",-72.50408133,42.666032,"Changed from 54 to 54 because QAQC","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 10:03:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Sand,Mud","Mostly shaded",-72.50447633,42.66762233,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 10:05:00","DRY UPPER","day",53,NA,"RECOVERED","","","",NA,"","",-72.5037965,42.66414,"Pulled dead tag from leaves and debris in woods. Same location where we looked last - GPS point taken from 7/18/2024 since it's the same location","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 10:11:00","DRY UPPER","day",30.1,NA,"","Pool","Woody_debris","",NA,"Mud,Sand","Mostly shaded",-72.50498283,42.66816217,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 10:20:00","DRY UPPER","day",29.1,NA,"","Pool","Woody_debris","Left",NA,"Pebble,Rock","Fully shaded",-72.505925,42.668464,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 10:25:00","DRY UPPER","day",39.1,NA,"","Pool","Undercut_bank","Right",NA,"Rock","",-72.50680717,42.66803233,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 11:43:00","DRY UPPER","day",39.1,NA,"","Pool","Undercut_bank","Right",NA,"Rock","Fully shaded",-72.50687483,42.66811083,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:03:00","DRY UPPER","day",29.1,NA,"","Pool","Woody_debris","Left",NA,"Sand,Pebble,Rock","Mostly shaded",-72.5058535,42.66843233,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:19:00","DRY UPPER","day",30.1,NA,"","Pool","Woody_debris","Center",NA,"Mud,Sand","Lightly shaded",-72.50508217,42.66825217,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:27:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris","Center",NA,"Pebble,Granule,Sand","Mostly shaded",-72.5047115,42.66757833,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:40:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris","Right",NA,"Mud,Sand","Fully shaded",-72.50459983,42.66767117,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:45:00","DRY UPPER","day",30.1,NA,"","Pool","Woody_debris","Left",NA,"Mud,Sand","Mostly shaded",-72.50504133,42.66828117,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:49:00","DRY UPPER","day",29.1,NA,"","Pool","Woody_debris","",NA,"Rock,Sand","Mostly shaded",-72.50581883,42.668405,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 12:59:00","DRY UPPER","day",39.1,NA,"","Pool","Woody_debris","Right",NA,"Rock","Mostly shaded",-72.5068215,42.6681185,"","iPad",0.13,"2024-07-23 08:27:20",83,"Mostly cloudy","Moderate rain","07:27","13:24","DRYU202407230833EST","","08:33","42.6342708 N , 72.4923600 W",60,"42.6682103 N 72.5069701",75
"2024-07-23","2024-07-23 17:34:00","DRY UPPER","night",16,NA,"","Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.50463933,42.667525,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 17:43:00","DRY UPPER","night",30.1,NA,"","Pool","Woody_debris","Center",NA,"Mud,Rock","Fully shaded",-72.504988,42.66823167,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
