"date","trackedTime_EST","river","shift","radioID","tempID","power","source","fishNotes","lon","lat","habitat","habitatExtra","position","substrate","substrateExtra","shade","airTemp","cloud","precip","totalDischarge","flowTime_EST","startTime_EST","endTime_EST","streamNotes","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain","isoID","isoTime_EST","length","weight","sex","type","geneticSam","blood","section","collectionNotes","trackedTime_EST.receiver"
2024-06-11,2024-06-11 05:57:00,"AMETHYST","day",59,335,NA,"iPad",NA,-72.4603766666667,42.3816186666667,"Riffle",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.56,NA,"06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:08:00,"AMETHYST","day",60,338,NA,"iPad",NA,-72.4602998333333,42.3813595,"Riffle",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.56,NA,"06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:15:00,"BUFFAM","day",19,329,NA,"iPad",NA,-72.4602331666667,42.3813855,"Riffle",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.49,"2024-06-11 08:32:26","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:19:00,"HARRIS","day",20,0,NA,"iPad",NA,-72.4601516666667,42.3809533333333,"Run",NA,"Left","Pebble",NA,"Mostly shaded",71,"Partly cloudy/partly sunny","No rain",0.07,"2024-06-11 09:42:47","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:28:00,"HARRIS","day",57,337,NA,"iPad",NA,-72.460342,42.3810545,"Run",NA,"Left","Rock",NA,"Mostly shaded",71,"Partly cloudy/partly sunny","No rain",0.07,"2024-06-11 09:42:47","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:34:00,"HARRIS","day",12,330,NA,"iPad",NA,-72.460092,42.380942,"Glide",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",0.07,"2024-06-11 09:42:47","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:46:00,"HARRIS","day",15,327,NA,"iPad","Moved to a small riffle upstream",-72.4595806666667,42.3810635,"Riffle",NA,"Right","Rock",NA,"Lightly shaded",71,"Partly cloudy/partly sunny","No rain",0.07,"2024-06-11 09:42:47","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 06:49:00,"HARRIS","day",13,326,NA,"iPad",NA,-72.459582,42.3811,"Glide",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",0.07,"2024-06-11 09:42:47","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 07:04:00,"BUFFAM","day",62,334,NA,"iPad",NA,-72.4597758333333,42.3812375,"Pool",NA,"Right","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.49,"2024-06-11 08:32:26","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 07:05:00,"BUFFAM","day",11,328,NA,"iPad",NA,-72.4597076666667,42.3811855,"Pool",NA,"Right","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.49,"2024-06-11 08:32:26","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 07:06:00,"BUFFAM","day",18,0,NA,"iPad",NA,-72.4598146666667,42.3812323333333,"Glide",NA,"Center","Rock",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.49,"2024-06-11 08:32:26","06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,2024-06-11 07:24:00,"AMETHYST","day",56,0,NA,"iPad",NA,-72.460664,42.3815331666667,"Pool",NA,"Center","Pebble",NA,"Fully shaded",71,"Partly cloudy/partly sunny","No rain",1.56,NA,"06:30","12:00",NA,NA,NA,NA,NA,"AMTH202406111000EST","10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
