"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-08-20","2024-08-20 09:10:00","AMETHYST","day",19,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.46089933,42.38156933,"","iPad"
"2024-08-20","2024-08-20 09:39:00","HARRIS","day",20,NA,"","Riffle","","Left",NA,"Boulder","Fully shaded",-72.4601585,42.3811605,"","iPad"
"2024-08-20","2024-08-20 09:54:00","BUFFAM","day",14,NA,"","Riffle","","Right",NA,"Rock,Sand","Fully shaded",-72.45999933,42.381263,"","iPad"
"2024-08-20","2024-08-20 10:40:00","BUFFAM","day",18,NA,"","Riffle","","Center",NA,"Rock,Boulder,Granule","Fully shaded",-72.45992967,42.38124217,"","iPad"
"2024-08-20","2024-08-20 11:03:00","HARRIS","day",62,NA,"","Riffle","Woody_debris","Left",NA,"Boulder,Rock","Fully shaded",-72.457839,42.3806205,"","iPad"
"2024-08-20","2024-08-20 11:41:00","BUFFAM","day",60,NA,"RECOVERED","Run","","Center",NA,"Rock,Sand","Fully shaded",-72.45856467,42.38206217,"Recollected alive","iPad"
"2024-08-21","2024-08-21 08:30:00","UNDERHILL","day",33,NA,"RECOVERED","Riffle","Woody_debris","Center",NA,"Pebble,Rock","Mostly shaded",-72.32638183,42.44541117,"Recollected alive","iPad"
"2024-08-21","2024-08-21 09:12:00","UNDERHILL","day",45,NA,"","Riffle","","Center",NA,"Pebble,Rock","Fully shaded",-72.32734267,42.44531583,"Suspected dead, unable to successfully electrofish ","iPad"
"2024-08-21","2024-08-21 09:32:00","UNDERHILL","day",44,NA,"","Run","","Center",NA,"Sand,Rock","Mostly shaded",-72.32798933,42.44501867,"","iPad"
"2024-08-21","2024-08-21 09:50:00","UNDERHILL","day",35,NA,"","Pool","","Center",NA,"Boulder,Rock,Sand","Fully shaded",-72.329601,42.44376717,"","iPad"
"2024-08-21","2024-08-21 11:04:00","UNDERHILL","day",45,NA,"","Run","","Right",NA,"Sand,Rock","Fully shaded",-72.3273765,42.44519167,"Receiver shows it at the tip of this rock. Probably dead.","iPad"
"2024-08-21","2024-08-21 10:30:00","UNDERHILL","day",43,NA,"RECOVERED","Riffle","","Center",NA,"Rock,Sand","Mostly shaded",-72.32588067,42.44536283,"Recollected alive - tag not reading","iPad"
"2024-08-22","2024-08-22 08:28:00","DRY UPPER","day",54,NA,"RECOVERED","Pool","Root_bundle,Woody_debris","Right",NA,"Sand,Rock,Pebble","Fully shaded",-72.50404883,42.6661825,"We pulled a ton of fish none were fish 54. Found tag at bottom of stream","iPad"
"2024-08-22","2024-08-22 08:59:00","DRY UPPER","day",16,NA,"RECOVERED","Pool","","Center",NA,"Rock,Mud,Granule","Fully shaded",-72.50449533,42.6676285,"Recollected alive","iPad"
"2024-08-22","2024-08-22 09:13:00","DRY UPPER","day",21,NA,"RECOVERED","Pool","Undercut_bank","Left",NA,"Pebble,Rock","Fully shaded",-72.504683,42.66809517,"Recollected alive","iPad"
"2024-08-22","2024-08-22 09:42:00","DRY UPPER","day",30.1,NA,"RECOVERED","Pool","Root_bundle,Woody_debris","Left",NA,"Mud","Fully shaded",-72.50508783,42.66817383,"Recollected alive","iPad"
"2024-08-22","2024-08-22 10:19:00","DRY UPPER","day",29.1,NA,"RECOVERED","Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.50597367,42.66840533,"Found tag at bottom of brook","iPad"
"2024-08-22","2024-08-22 11:45:00","DRY UPPER","day",39.1,NA,"RECOVERED","Pool","Undercut_bank,Woody_debris","Right",NA,"Rock,Sand,Pebble","Mostly shaded",-72.50675367,42.66820533,"Tag not reading on site, most likely 39.1.","iPad"
"2024-08-23","2024-08-23 10:50:00","HARRIS","day",62,NA,"RECOVERED","Riffle","","Left",NA,"Rock,Pebble,Granule","Mostly shaded",-72.45769183,42.380596,"Recovered tag, found at the bottom of the stream","iPad"
"2024-08-23","2024-08-23 11:35:00","HARRIS","day",20,NA,"RECOVERED","Pool","Woody_debris","Center",NA,"Rock,Boulder,Pebble,Granule","Mostly shaded",-72.46035917,42.38139733,"Recovered tag, found at the bottom of the stream. Recovered without temp tag, spent time looking but unable to find it","iPad"
"2024-08-23","2024-08-23 12:03:00","AMETHYST","day",61,NA,"","Pool","","Right",NA,"Sand,Boulder","Fully shaded",-72.46326867,42.3795645,"Scarring indicative of a tagged fish. Based off location it is presumed to be fish 61. No tag found inside the fish.","iPad"
"2024-08-23","2024-08-23 12:28:00","AMETHYST","day",19,NA,"RECOVERED","Riffle","","Center",NA,"Boulder,Rock,Pebble,Granule","Mostly shaded",-72.46096183,42.3815155,"Recovered tag found at bottom of stream, buried in rocks. Part way through search tag stopped working, found with ripped antenna.","iPad"
"2024-08-23","2024-08-23 13:18:00","BUFFAM","day",14,NA,"","Pool","","Right",NA,"Sand,Rock,Pebble,Granule","Mostly shaded",-72.4599025,42.38127383,"No tag found, highly suspected to not be a live fish.","iPad"
"2024-08-23","2024-08-23 13:19:00","BUFFAM","day",18,NA,"","Run","","Center",NA,"Boulder,Rock","Mostly shaded",-72.4598765,42.38125167,"Unable to recover tag even with digging, highly suspected to be just a tag/dead fish","iPad"
