"river","totalDischarge","ftTime_EST","shift"
"BUFFAM",1.22,"2024-08-13 04:57:46","day"
"BUFFAM",0.95,"2024-08-13 18:18:44","night"
"DICKEY",1.69,"2024-08-15 05:32:32","day"
"DICKEY",1.4,"2024-08-15 15:12:35","night"
"DRY UPPER",0.15,"2024-08-16 05:22:45","day"
"DRY UPPER",0.08,"2024-08-16 14:38:49","night"
"HARRIS",3.16,"2024-08-13 06:51:21","day"
"HARRIS",4,"2024-08-13 17:46:28","night"
"UNDERHILL",1.47,"2024-08-14 04:47:00","day"
"UNDERHILL",0.96,"2024-08-14 16:57:14","night"
"AMETHYST",4.38,NA,"day"
"AMETHYST",4.95,NA,"night"
