"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",4.98,NA,"day"
"BUFFAM",0.81,"2024-06-26 10:42:10","day"
"DICKEY",1.06,"2024-06-28 09:44:29","day"
"DRY UPPER",1.09,"2024-06-25 07:21:55","day"
"HARRIS",4.17,"2024-06-26 07:05:00","day"
"UNDERHILL",1.31,"2024-06-27 07:52:29","day"
"AMETHYST",3.28,NA,"night"
"BUFFAM",0.6,"2024-06-26 17:51:16","night"
"DICKEY",1.07,"2024-06-28 18:41:46","night"
"DRY UPPER",0.57,"2024-06-25 19:19:38","night"
"HARRIS",2.68,"2024-06-26 19:07:51","night"
"UNDERHILL",0.82,"2024-06-27 18:53:51","night"
