"river","totalDischarge","flowTime_EST","shift"
"BUFFAM",1.69,"2024-07-17 04:35:30","day"
"BUFFAM",1.12,"2024-07-17 14:14:36","night"
"DICKEY",1.17,"2024-07-16 05:02:37","day"
"DICKEY",-1.58,"2024-07-16 14:29:54","night"
"DRY UPPER",1.68,"2024-07-18 04:41:46","day"
"DRY UPPER",0.6,"2024-07-18 14:02:49","night"
"HARRIS",3.3,"2024-07-17 05:56:10","day"
"HARP",3.33,"2024-07-17 15:11:56","night"
"UNDERHILL",1.25,"2024-07-19 04:05:45","day"
"UNDERHILL",0.92,"2024-07-19 14:29:15","night"
"UNDERHILL",0.87,"2024-07-19 15:03:26","night"
"UNDERHILL",0.83,"2024-07-19 15:46:02","night"
"AMETHYST",4.99,NA,"day"
"AMETHYST",1.12,NA,"night"
