"date","trackedTime_EST","river","shift","radioID","power","lon","lat","source"
2024-06-11,2024-06-11 06:45:21,"AMETHYST","day",61,124,NA,NA,"receiver"
2024-06-11,2024-06-11 06:45:41,"AMETHYST","day",61,131,NA,NA,"receiver"
2024-06-11,2024-06-11 06:46:21,"AMETHYST","day",14,112,NA,NA,"receiver"
2024-06-11,2024-06-11 06:46:41,"AMETHYST","day",14,123,NA,NA,"receiver"
2024-06-11,2024-06-11 06:46:47,"AMETHYST","day",56,117,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:00,"AMETHYST","day",14,137,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:08,"AMETHYST","day",59,110,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:20,"AMETHYST","day",14,130,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:27,"AMETHYST","day",56,133,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:40,"AMETHYST","day",14,143,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:47,"AMETHYST","day",56,120,NA,NA,"receiver"
2024-06-11,2024-06-11 06:47:57,"AMETHYST","day",60,112,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:00,"AMETHYST","day",14,124,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:02,"AMETHYST","day",19,108,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:08,"AMETHYST","day",56,121,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:20,"AMETHYST","day",14,139,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:28,"AMETHYST","day",56,144,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:29,"AMETHYST","day",59,113,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:40,"AMETHYST","day",14,136,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:48,"AMETHYST","day",56,150,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:49,"AMETHYST","day",59,118,NA,NA,"receiver"
2024-06-11,2024-06-11 06:48:56,"AMETHYST","day",60,112,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:00,"AMETHYST","day",14,131,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:02,"AMETHYST","day",19,123,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:08,"AMETHYST","day",56,142,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:09,"AMETHYST","day",20,110,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:09,"AMETHYST","day",59,117,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:20,"AMETHYST","day",14,126,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:28,"AMETHYST","day",56,159,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:29,"AMETHYST","day",59,132,NA,NA,"receiver"
2024-06-11,2024-06-11 06:49:40,"AMETHYST","day",14,111,NA,NA,"receiver"
