"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source"
"Pool","Left",NA,"Night","","Root_bundle","Rock,Mud",NA,-72.5045681666667,42.6676876666667,"2024-06-30 04:39:00","day","DRY UPPER",22,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.5044825,42.6676038333333,"2024-06-30 04:42:00","day","DRY UPPER",16,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.5045288333333,42.667623,"2024-06-30 04:43:00","day","DRY UPPER",55,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris,Undercut_bank","Mud",NA,-72.50514,42.6669843333333,"2024-06-30 04:50:00","day","DRY UPPER",21,"iPad"
"Pool","Right",NA,"Fully shaded","","Undercut_bank,Woody_debris","Mud",NA,-72.5050863333333,42.6669901666667,"2024-06-30 04:51:00","day","DRY UPPER",25,"iPad"
"Pool","Right",NA,"Fully shaded","","Undercut_bank,Woody_debris","Mud",NA,-72.5050785,42.6670203333333,"2024-06-30 04:51:00","day","DRY UPPER",24,"iPad"
"Pool","Left",NA,"Mostly shaded","","Root_bundle,Woody_debris","Mud",NA,-72.5048498333333,42.6669268333333,"2024-06-30 04:53:00","day","DRY UPPER",54,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock,Sand",NA,-72.5047925,42.6667996666667,"2024-06-30 04:55:00","day","DRY UPPER",48,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Mud,Rock",NA,-72.5040745,42.6659865,"2024-06-30 05:00:00","day","DRY UPPER",42,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.5040303333333,42.6659646666667,"2024-06-30 05:06:00","day","DRY UPPER",49,"iPad"
"","",NA,"","Went super far down following the signal then lost it and couldn’t find it again.","","",81,-72.5036348333333,42.6649073333333,"2024-06-30 05:52:00","day","DRY UPPER",53,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Mud",NA,-72.5041096666667,42.6661631666667,"2024-06-30 06:00:00","day","DRY UPPER",42,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Mud",NA,-72.5040523333333,42.6662451666667,"2024-06-30 06:02:00","day","DRY UPPER",49,"iPad"
"Pool","Center",NA,"Fully shaded","","Woody_debris","Rock",NA,-72.504946,42.6668315,"2024-06-30 06:09:00","day","DRY UPPER",48,"iPad"
"Pool","Left",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.504922,42.6670288333333,"2024-06-30 06:12:00","day","DRY UPPER",54,"iPad"
"Run","Right",NA,"Fully shaded","","Undercut_bank,Root_bundle","Rock,Mud",NA,-72.5050953333333,42.6670383333333,"2024-06-30 06:16:00","day","DRY UPPER",21,"iPad"
"Run","Right",NA,"Fully shaded","","Root_bundle,Undercut_bank","Rock,Mud",NA,-72.5051066666667,42.6670223333333,"2024-06-30 06:17:00","day","DRY UPPER",24,"iPad"
"Run","Right",NA,"","","Root_bundle,Undercut_bank","Rock,Mud",NA,-72.505156,42.6670555,"2024-06-30 06:26:00","day","DRY UPPER",25,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Mud,Pebble",NA,-72.5045745,42.6676938333333,"2024-06-30 06:30:00","day","DRY UPPER",55,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.504577,42.667724,"2024-06-30 06:32:00","day","DRY UPPER",16,"iPad"
"Pool","Left",NA,"Mostly shaded","","Woody_debris,Undercut_bank","Mud,Rock",NA,-72.5043035,42.6676451666667,"2024-06-30 06:34:00","day","DRY UPPER",22,"iPad"
"Pool","Left",NA,"Mostly shaded","","Woody_debris,Root_bundle","",NA,-72.5044266666667,42.667684,"2024-06-30 07:10:00","day","DRY UPPER",22,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Mud",NA,-72.5044401666667,42.6676998333333,"2024-06-30 07:14:00","day","DRY UPPER",55,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Mud",NA,-72.50446,42.6677008333333,"2024-06-30 07:15:00","day","DRY UPPER",16,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank,Woody_debris","Rock",NA,-72.5049838333333,42.6670191666667,"2024-06-30 07:20:00","day","DRY UPPER",25,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank,Woody_debris","Rock",NA,-72.5050235,42.6670005,"2024-06-30 07:25:00","day","DRY UPPER",24,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank,Woody_debris","Rock",NA,-72.5049975,42.6669891666667,"2024-06-30 07:26:00","day","DRY UPPER",21,"iPad"
"Pool","Left",NA,"Fully shaded","","Root_bundle,Woody_debris","Mud",NA,-72.5047735,42.6669711666667,"2024-06-30 07:36:00","day","DRY UPPER",54,"iPad"
"Pool","Center",NA,"Fully shaded","","Woody_debris","Mud",NA,-72.5047608333333,42.666759,"2024-06-30 07:39:00","day","DRY UPPER",48,"iPad"
"Pool","Right",NA,"Mostly shaded","","Root_bundle,Woody_debris","Mud",NA,-72.5039823333333,42.665974,"2024-06-30 07:45:00","day","DRY UPPER",49,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris,Root_bundle","Mud",NA,-72.5038243333333,42.666128,"2024-06-30 07:46:00","day","DRY UPPER",42,"iPad"
