"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","dateTime","shift","river","tagID","source"
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.3244695,42.444884,"2024-07-09 07:30:00","day","UNDERHILL",41,"iPad"
"Riffle","",NA,"Mostly shaded","","Woody_debris","Rock,Pebble",NA,-72.3251268333333,42.445103,"2024-07-09 07:49:00","day","UNDERHILL",40,"iPad"
"Riffle","Center",NA,"","","","Rock",NA,-72.3264511666667,42.4453676666667,"2024-07-09 07:57:00","day","UNDERHILL",34,"iPad"
"Riffle","Right",NA,"Mostly shaded","","Undercut_bank","Rock",NA,-72.3262415,42.445333,"2024-07-09 08:08:00","day","UNDERHILL",33,"iPad"
"Pool","Center",NA,"Mostly shaded","Moved up from where we thought it might have died.","","Rock,Pebble,Sand",NA,-72.3275201666667,42.4462623333333,"2024-07-09 08:18:00","day","UNDERHILL",36,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.3277965,42.4452068333333,"2024-07-09 08:25:00","day","UNDERHILL",27,"iPad"
"Riffle","Center",NA,"","","","Rock",NA,-72.327738,42.445154,"2024-07-09 08:26:00","day","UNDERHILL",45,"iPad"
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.3279938333333,42.44504,"2024-07-09 08:39:00","day","UNDERHILL",44,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock,Boulder",NA,-72.3296243333333,42.4437278333333,"2024-07-09 08:52:00","day","UNDERHILL",35,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3296048333333,42.4436966666667,"2024-07-09 09:29:00","day","UNDERHILL",35,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.3281301666667,42.4449076666667,"2024-07-09 09:41:00","day","UNDERHILL",44,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.327629,42.4451095,"2024-07-09 09:45:00","day","UNDERHILL",45,"iPad"
"Riffle","Right",NA,"Mostly shaded","","","Rock",NA,-72.3275656666667,42.4451091666667,"2024-07-09 09:52:00","day","UNDERHILL",27,"iPad"
"Pool","Center",NA,"","","","Rock,Pebble",NA,-72.3275126666667,42.446366,"2024-07-09 09:59:00","day","UNDERHILL",36,"iPad"
"Riffle","Center",NA,"","","","Rock",NA,-72.326456,42.4453238333333,"2024-07-09 10:06:00","day","UNDERHILL",33,"iPad"
"","",NA,"","34 and 33 together the first pass. 34 easier to read. 33 would blip and 34 would show up and not allow me To see signal for 33. This pass no 34 at all.","","",NA,-72.326325,42.4453386666667,"2024-07-09 10:16:00","day","UNDERHILL",34,"iPad"
"Run","Center",NA,"","","","Sand,Rock",NA,-72.3252736666667,42.4450753333333,"2024-07-09 10:23:00","day","UNDERHILL",40,"iPad"
"Pool","Right",NA,"","","","Rock,Sand",NA,-72.3244955,42.4448621666667,"2024-07-09 10:29:00","day","UNDERHILL",41,"iPad"
"Pool","Right",NA,"","","","Rock,Sand",NA,-72.3245946666667,42.4449053333333,"2024-07-09 11:24:00","day","UNDERHILL",41,"iPad"
"Run","Center",NA,"Mostly shaded","","Woody_debris","Rock,Sand",NA,-72.3253485,42.4452416666667,"2024-07-09 11:28:00","day","UNDERHILL",40,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","",NA,-72.3265166666667,42.445385,"2024-07-09 11:37:00","day","UNDERHILL",34,"iPad"
"Pool","Right",NA,"Mostly shaded","","","Rock,Sand",NA,-72.3277296666667,42.445165,"2024-07-09 11:53:00","day","UNDERHILL",27,"iPad"
"Pool","Right",NA,"Mostly shaded","","","Sand,Rock",NA,-72.3277761666667,42.4452793333333,"2024-07-09 11:53:00","day","UNDERHILL",45,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Sand,Rock",NA,-72.3279903333333,42.4448873333333,"2024-07-09 11:57:00","day","UNDERHILL",44,"iPad"
"Pool","Right",NA,"Mostly shaded","","","Rock",NA,-72.3277731666667,42.4452975,"2024-07-09 12:05:00","day","UNDERHILL",45,"iPad"
"Pool","Right",NA,"Mostly shaded","","","Sand,Rock",NA,-72.3278311666667,42.4452025,"2024-07-09 12:06:00","day","UNDERHILL",27,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Sand",NA,-72.327636,42.4463026666667,"2024-07-09 12:17:00","day","UNDERHILL",36,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3264945,42.445418,"2024-07-09 12:22:00","day","UNDERHILL",34,"iPad"
"Riffle","Center",NA,"Mostly shaded","","","Rock,Granule",NA,-72.3265175,42.4452255,"2024-07-09 12:23:00","day","UNDERHILL",33,"iPad"
"Run","Center",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.3252658333333,42.4450796666667,"2024-07-09 12:28:00","day","UNDERHILL",40,"iPad"
"Pool","Right",NA,"Lightly shaded","","","Rock,Sand",NA,-72.3244238333333,42.4448516666667,"2024-07-09 12:33:00","day","UNDERHILL",41,"iPad"
"Riffle","Right",NA,"Mostly shaded","","","Rock",NA,-72.3246636666667,42.4448913333333,"2024-07-09 18:44:00","night","UNDERHILL",41,"iPad"
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Sand,Pebble",NA,-72.3252728333333,42.4450735,"2024-07-09 18:51:00","night","UNDERHILL",40,"iPad"
"Run","Center",NA,"Night","","","Rock",NA,-72.326239,42.4453895,"2024-07-09 18:55:00","night","UNDERHILL",34,"iPad"
"Glide","Left",NA,"Night","","","Rock",NA,-72.3263596666667,42.4454261666667,"2024-07-09 18:56:00","night","UNDERHILL",33,"iPad"
"Glide","Center",NA,"Fully shaded","","","Rock",NA,-72.3712993333334,42.4440728333333,"2024-07-10 07:27:00","day","DICKEY",31,"iPad"
"Glide","Left",NA,"Fully shaded","This is fish 28","","Rock",NA,-72.3702866666667,42.4436705,"2024-07-10 07:42:00","day","DICKEY",28,"iPad"
"Glide","Right",NA,"Fully shaded","","","Rock",NA,-72.3702658333333,42.4436248333333,"2024-07-10 07:47:00","day","DICKEY",26,"iPad"
"Glide","Left",NA,"Fully shaded","","","",NA,-72.3702821666667,42.4436573333333,"2024-07-10 07:48:00","day","DICKEY",37,"iPad"
