"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","flowTime_EST","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"2024-08-05 11:06:00","DRY UPPER","day",49,174,"Pool","Woody_debris,Undercut_bank","",NA,"Granule,Pebble,Sand","Lightly shaded",-72.5035161666667,42.6511446666667,"Bunch of fish swimming around, moving too much to get a good signal","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-05 11:35:00","DRY UPPER","day",47,NA,"","","",NA,"","",-72.5035255,42.6537498333333,"Lost signal, signal was strongest (74) back at the clearing with the pine trees ","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-05 11:37:00","DRY UPPER","day",47,54,"","","",NA,"","",-72.5036741666667,42.6540743333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-06 07:41:00","UNDERHILL","day",33,NA,"Riffle","Woody_debris","Center",NA,"Pebble,Rock","Mostly shaded",-72.3263953333333,42.4453071666667,"Same so as last week.","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 07:47:00","UNDERHILL","day",45,NA,"Pool","","Center",NA,"Pebble,Granule","Mostly shaded",-72.3277273333333,42.4451513333333,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 07:53:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Center",NA,"Rock,Sand","Mostly shaded",-72.3280273333333,42.4448818333333,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 08:02:00","UNDERHILL","day",35,NA,"Pool","","Center",NA,"Rock","Mostly shaded",-72.3297248333333,42.4436301666667,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 08:38:00","UNDERHILL","day",35,NA,"Pool","","Center",NA,"Boulder,Sand","Fully shaded",-72.3296073333333,42.4436155,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 08:49:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Center",NA,"Rock,Granule,Sand","Fully shaded",-72.3277781666667,42.4447788333333,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 08:51:00","UNDERHILL","day",45,NA,"Pool","","Center",NA,"Rock,Pebble,Sand","Fully shaded",-72.3277361666667,42.4452306666667,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 08:58:00","UNDERHILL","day",33,NA,"Run","Woody_debris","Center",NA,"Pebble,Rock,Sand","Fully shaded",-72.3262515,42.445304,"May have moved upstream while searching for the tag","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 11:30:00","UNDERHILL","day",33,NA,"Riffle","Woody_debris","Center",NA,"Rock,Granule","Fully shaded",-72.3263431666667,42.4453563333333,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 11:35:00","UNDERHILL","day",45,NA,"Riffle","","Center",NA,"Sand,Rock","Fully shaded",-72.327869,42.4452076666667,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 11:41:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Center",NA,"Rock,Sand","Fully shaded",-72.327839,42.4448546666667,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 12:04:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Center",NA,"Sand,Rock","Fully shaded",-72.3278753333333,42.444845,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 12:11:00","UNDERHILL","day",45,NA,"Riffle","","Right",NA,"Rock,Sand","Fully shaded",-72.3278061666667,42.445195,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 12:16:00","UNDERHILL","day",33,NA,"Riffle","","Center",NA,"Rock","Fully shaded",-72.3261361666667,42.4453015,"","iPad",0.04,"2024-08-06 08:06:36",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70
"2024-08-06 17:18:00","UNDERHILL","night",33,NA,"Glide","","Left",NA,"Rock,Pebble","Mostly shaded",-72.3264343333333,42.4452818333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 17:24:00","UNDERHILL","night",45,NA,"Run","","Right",NA,"Pebble,Rock,Sand","Night",-72.3278733333333,42.4452866666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 17:29:00","UNDERHILL","night",44,NA,"Pool","","Center",NA,"Boulder,Rock","Night",-72.3279173333333,42.4450058333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 17:39:00","UNDERHILL","night",35,NA,"Pool","","Center",NA,"Rock","Night",-72.3296243333333,42.4436675,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 18:11:00","UNDERHILL","night",33,NA,"Run","","Left",NA,"Rock,Sand","Fully shaded",-72.3263898333333,42.4454906666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 18:15:00","UNDERHILL","night",45,NA,"Run","","Center",NA,"Sand,Rock","Fully shaded",-72.3278555,42.4451931666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 18:24:00","UNDERHILL","night",44,NA,"Run","","Center",NA,"Pebble,Rock,Sand","Fully shaded",-72.3282701666667,42.445282,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 18:30:00","UNDERHILL","night",35,NA,"Run","","Center",NA,"Sand,Rock,Boulder","Fully shaded",-72.3296606666667,42.4437845,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:03:00","UNDERHILL","night",33,NA,"Riffle","","Center",NA,"Rock","Night",-72.3263788333333,42.4454285,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:10:00","UNDERHILL","night",45,NA,"Pool","","Center",NA,"Rock,Pebble","Night",-72.3277175,42.4451135,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:11:00","UNDERHILL","night",44,NA,"Pool","","Center",NA,"Pebble,Rock,Boulder","Night",-72.3279446666667,42.4448955,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:18:00","UNDERHILL","night",35,NA,"Pool","","Center",NA,"Rock,Pebble","Night",-72.3297101666667,42.4436001666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:52:00","UNDERHILL","night",35,NA,"Pool","","Right",NA,"Rock,Boulder","Night",-72.3296545,42.4437785,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 19:58:00","UNDERHILL","night",44,NA,"Pool","","Center",NA,"Rock,Pebble","Night",-72.3279378333333,42.4449436666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 20:01:00","UNDERHILL","night",45,NA,"Pool","","Center",NA,"Rock,Boulder","Night",-72.3278041666667,42.4452308333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 20:07:00","UNDERHILL","night",33,NA,"Glide","","Center",NA,"Rock,Pebble","Night",-72.326227,42.445448,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:01:00","UNDERHILL","night",33,NA,"Run","","Center",NA,"Rock,Pebble","Night",-72.3262358333333,42.4455693333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:09:00","UNDERHILL","night",45,NA,"Pool","","Left",NA,"Rock,Pebble","Night",-72.3279073333333,42.4452226666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:15:00","UNDERHILL","night",44,NA,"Pool","","Center",NA,"Rock,Pebble","Night",-72.3280323333334,42.4448825,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:22:00","UNDERHILL","night",35,NA,"Pool","","Right",NA,"Boulder,Rock","Night",-72.3296783333333,42.443772,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:41:00","UNDERHILL","night",35,NA,"Run","","Right",NA,"Rock,Boulder","Night",-72.3294626666667,42.443754,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:48:00","UNDERHILL","night",44,NA,"Pool","","Center",NA,"Rock,Boulder","Night",-72.3278855,42.4449518333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:49:00","UNDERHILL","night",45,NA,"Pool","","Center",NA,"Pebble,Rock","Night",-72.3277471666667,42.4452101666667,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-06 21:54:00","UNDERHILL","night",33,NA,"Glide","","Left",NA,"Rock,Pebble","Night",-72.3262768333333,42.4454693333333,"","iPad",-1.14,"2024-08-06 17:56:47",73,"Cloudy","Weak rain","17:59","22:13","UNDH202408061801EST","","18:01","Lat:42.4442383 N Long: 72.3236331 W",80,"Lat 42.4436998. Long 72.3297100",45
"2024-08-07 07:39:00","DRY UPPER","day",21,NA,"Pool","","Center",NA,"","Fully shaded",-72.5059998333333,42.6683585,"Too murky to see substrate","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 08:02:00","DRY UPPER","day",30.1,188,"Pool","Woody_debris","Center",NA,"Rock,Pebble","Fully shaded",-72.5050578333333,42.6681898333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 08:16:00","DRY UPPER","day",16,NA,"Pool","","Center",NA,"Rock,Pebble","Fully shaded",-72.5045596666667,42.6675388333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 08:30:00","DRY UPPER","day",54,NA,"Run","Woody_debris","Left",NA,"Pebble,Rock,Granule","Lightly shaded",-72.5040391666667,42.6659603333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 10:04:00","DRY UPPER","day",21,186,"Pool","","Center",NA,"Sand,Granule","Mostly shaded",-72.5046788333333,42.6619403333333,"Moved up stream probably alive","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 11:04:00","DRY UPPER","day",25,NA,"Pool","Root_bundle","Right",NA,"Mud,Pebble,Rock","Mostly shaded",-72.5059426666667,42.66836,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 11:09:00","DRY UPPER","day",30.1,NA,"Pool","","Center",NA,"Rock,Pebble,Granule","Mostly shaded",-72.505065,42.668268,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 11:16:00","DRY UPPER","day",16,NA,"Pool","Root_bundle","Center",NA,"Rock,Sand","Mostly shaded",-72.504481,42.6677998333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 11:24:00","DRY UPPER","day",54,NA,"","","",NA,"Pebble,Rock,Sand","Mostly shaded",-72.5039475,42.666022,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 12:07:00","DRY UPPER","day",54,NA,"Pool","Woody_debris","Center",NA,"Rock,Pebble,Granule","Fully shaded",-72.50412,42.6660135,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 12:17:00","DRY UPPER","day",16,NA,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5045981666667,42.6678108333333,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 12:23:00","DRY UPPER","day",30.1,NA,"Pool","","Center",NA,"Rock","Mostly shaded",-72.5049303333333,42.6681856666667,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
"2024-08-07 12:30:00","DRY UPPER","day",29.1,NA,"Pool","","Left",NA,"Mud","Fully shaded",-72.5062175,42.6683886666667,"","iPad",0.25,"2024-08-07 08:20:43",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70
