"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime_EST","shift","river","tagID","source","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"Riffle","Center",NA,"Night","","","Rock",NA,-72.3712083333333,42.4440778333333,"2024-07-16 03:49:00","day","DICKEY",31,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Pool","Center",NA,"Night","","","Sand,Mud",NA,-72.3705641666667,42.4436396666667,"2024-07-16 03:58:00","day","DICKEY",28,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Center",NA,"Night","","","Rock",NA,-72.3702953333333,42.4434478333333,"2024-07-16 04:04:00","day","DICKEY",26,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.370182,42.4434178333333,"2024-07-16 04:05:00","day","DICKEY",37,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Center",NA,"Fully shaded","","","Rock,Sand",NA,-72.3713191666667,42.4439261666667,"2024-07-16 05:17:00","day","DICKEY",31,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Pool","Center",NA,"Fully shaded","","","Rock,Pebble,Sand",NA,-72.3705911666667,42.4435701666667,"2024-07-16 05:21:00","day","DICKEY",28,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Right",NA,"Fully shaded","","","Rock",NA,-72.3702938333333,42.443569,"2024-07-16 05:25:00","day","DICKEY",26,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.3702695,42.443581,"2024-07-16 05:26:00","day","DICKEY",37,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Right",NA,"Fully shaded","","Root_bundle","Rock,Sand",NA,-72.3734116666667,42.4444596666667,"2024-07-16 05:56:00","day","DICKEY",38,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Left",NA,"Lightly shaded","","","Pebble,Granule,Sand",NA,-72.3733933333333,42.4439893333333,"2024-07-16 06:34:00","day","DICKEY",32,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
