"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime_EST","shift","river","tagID","source","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain","totalDischarge","meanTemp","flowTime_EST"
"Riffle","Center","Rock","Fully shaded","","",NA,NA,-72.4603766666667,42.3816186666667,"2024-06-11 05:57:00","day","AMETHYST",59,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.56,14.555,NA
"Riffle","Center","Rock","Fully shaded","","",NA,NA,-72.4602998333333,42.3813595,"2024-06-11 06:08:00","day","AMETHYST",60,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.56,14.555,NA
"Riffle","Center","Rock","Fully shaded","","",NA,NA,-72.4602331666667,42.3813855,"2024-06-11 06:15:00","day","BUFFAM",19,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.49,12.93,"2024-06-11 08:32:26"
"Run","Left","Pebble","Mostly shaded","","",NA,NA,-72.4601516666667,42.3809533333333,"2024-06-11 06:19:00","day","HARRIS",20,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,0.07,16.18,"2024-06-11 09:42:47"
"Run","Left","Rock","Mostly shaded","","",NA,NA,-72.460342,42.3810545,"2024-06-11 06:28:00","day","HARRIS",57,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,0.07,16.18,"2024-06-11 09:42:47"
"Glide","Center","Rock","Fully shaded","","",NA,NA,-72.460092,42.380942,"2024-06-11 06:34:00","day","HARRIS",12,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,0.07,16.18,"2024-06-11 09:42:47"
"Riffle","Right","Rock","Lightly shaded","Moved to a small riffle upstream ","",NA,NA,-72.4595806666667,42.3810635,"2024-06-11 06:46:00","day","HARRIS",15,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,0.07,16.18,"2024-06-11 09:42:47"
"Glide","Center","Rock","Fully shaded","","",NA,NA,-72.459582,42.3811,"2024-06-11 06:49:00","day","HARRIS",13,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,0.07,16.18,"2024-06-11 09:42:47"
"Pool","Right","Rock","Fully shaded","","",NA,NA,-72.4597758333333,42.3812375,"2024-06-11 07:04:00","day","BUFFAM",62,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.49,12.93,"2024-06-11 08:32:26"
"Pool","Right","Rock","Fully shaded","","",NA,NA,-72.4597076666667,42.3811855,"2024-06-11 07:05:00","day","BUFFAM",11,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.49,12.93,"2024-06-11 08:32:26"
"Glide","Center","Rock","Fully shaded","","",NA,NA,-72.4598146666667,42.3812323333333,"2024-06-11 07:06:00","day","BUFFAM",18,"iPad",71,"Partly cloudy/partly sunny","No rain","06:30","12:00","AMTH202406111000EST",NA,"10:00",NA,NA,NA,NA,1.49,12.93,"2024-06-11 08:32:26"
