"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-06-17 11:33:00","DICKEY","day",31,NA,"Pool","","Center","Rock",NA,"Mostly shaded",-72.3708445,42.443939,"","iPad"
"2024-06-17 11:57:00","DICKEY","day",46,NA,"Run","","Right","Pebble",NA,"Lightly shaded",-72.3717323333333,42.444212,"","iPad"
"2024-06-17 11:59:00","DICKEY","day",29,NA,"Riffle","Woody_debris","Left","Rock",NA,"Fully shaded",-72.3719351666667,42.4443011666667,"","iPad"
"2024-06-17 12:10:00","DICKEY","day",26,NA,"Run","Undercut_bank","Right","Rock",NA,"Lightly shaded",-72.3734418333333,42.4442065,"","iPad"
"2024-06-17 12:47:00","DICKEY","day",28,NA,"Pool","","Left","Boulder",NA,"Mostly shaded",-72.3703993333334,42.4436865,"","iPad"
"2024-06-17 12:49:00","DICKEY","day",37,NA,"Pool","","Right","Rock",NA,"Mostly shaded",-72.3703756666667,42.443771,"","iPad"
"2024-06-17 12:59:00","DICKEY","day",38,NA,"Pool","Root_bundle","Left","Mud",NA,"Mostly shaded",-72.3699636666667,42.4430736666667,"","iPad"
"2024-06-17 13:25:00","DICKEY","day",46,NA,"Run","","Right","Rock",NA,"Mostly shaded",-72.371888,42.4442433333333,"At the end of the culvert.","iPad"
"2024-06-17 13:28:00","DICKEY","day",29,NA,"Riffle","","Left","Rock",NA,"Mostly shaded",-72.371972,42.444349,"","iPad"
"2024-06-17 13:47:00","DICKEY","day",31,NA,"Pool","","Center","Pebble",NA,"Mostly shaded",-72.3707853333333,42.4440175,"","iPad"
"2024-06-17 13:51:00","DICKEY","day",28,NA,"Pool","","Center","Rock",NA,"Mostly shaded",-72.3703778333334,42.4434695,"","iPad"
"2024-06-17 13:53:00","DICKEY","day",37,NA,"Run","","Right","Rock",NA,"Mostly shaded",-72.3702701666667,42.4434973333333,"","iPad"
"2024-06-17 14:03:00","DICKEY","day",38,NA,"Pool","","Center","Boulder",NA,"Mostly shaded",-72.3700488333333,42.4429066666667,"","iPad"
"2024-06-17 14:25:00","DICKEY","day",32,180,"Pool","","Center","Rock",NA,"Mostly shaded",-72.3677101666667,42.4409496666667,"Pool below upper culvert.","iPad"
"2024-06-17 14:50:00","DICKEY","day",46,NA,"Pool","Woody_debris","Center","Sand",NA,"Lightly shaded",-72.3716463333333,42.4442465,"","iPad"
"2024-06-17 14:57:00","DICKEY","day",29,NA,"Pool","Undercut_bank","Left","Mud",NA,"Fully shaded",-72.3720448333333,42.4442255,"","iPad"
"2024-06-17 15:08:00","DICKEY","day",26,NA,"Run","","Right","Rock",NA,"Mostly shaded",-72.373516,42.4442035,"","iPad"
"2024-06-17 15:18:00","DICKEY","day",31,NA,"Pool","","Center","Rock",NA,"Mostly shaded",-72.3708586666667,42.4439825,"","iPad"
"2024-06-17 15:21:00","DICKEY","day",37,NA,"Pool","","Center","Boulder",NA,"Mostly shaded",-72.3704073333333,42.4435566666667,"","iPad"
"2024-06-17 15:22:00","DICKEY","day",28,NA,"Run","","Center","Boulder",NA,"Mostly shaded",-72.3704328333334,42.4435676666667,"","iPad"
"2024-06-17 15:25:00","DICKEY","day",38,NA,"Pool","Undercut_bank,Root_bundle","Left","Sand",NA,"Mostly shaded",-72.370055,42.4429073333333,"","iPad"
"2024-06-17 15:37:00","DICKEY","day",32,NA,"Pool","","Left","Boulder",NA,"Mostly shaded",-72.3677521666667,42.4409471666667,"","iPad"
"2024-06-17 15:49:00","DICKEY","day",46,NA,"Pool","Woody_debris","Center","Sand",NA,"Lightly shaded",-72.3716961666667,42.444275,"","iPad"
"2024-06-17 15:51:00","DICKEY","day",29,NA,"Pool","Undercut_bank","Left","Rock",NA,"Fully shaded",-72.3720278333333,42.4443445,"","iPad"
"2024-06-17 16:58:00","DICKEY","day",32,NA,"Pool","","Center","Rock",NA,"Mostly shaded",-72.3677579999976,42.4409456666652,"","iPad"
"2024-06-17 23:47:00","DICKEY","night",46,NA,"Run","","Center","Pebble",NA,"Night",-72.3717196666667,42.4442413333333,"","iPad"
"2024-06-18 00:01:00","DICKEY","night",29,NA,"Pool","Woody_debris","Left","Sand",NA,"Night",-72.3721156666667,42.4443556666667,"Dead","iPad"
"2024-06-18 01:02:00","DICKEY","night",26,NA,"Riffle","","Left","Rock",NA,"Night",-72.3734451666667,42.4441811666667,"","iPad"
"2024-06-18 01:35:00","DICKEY","night",31,NA,"Run","","Center","Rock",NA,"Night",-72.3707591666667,42.44386,"","iPad"
"2024-06-18 01:42:00","DICKEY","night",28,NA,"Run","","Left","Rock",NA,"Night",-72.3702815,42.4436096666667,"","iPad"
"2024-06-18 01:49:00","DICKEY","night",37,NA,"Pool","","Left","Mud",NA,"Night",-72.370606,42.443777,"","iPad"
"2024-06-18 02:08:00","DICKEY","night",37,NA,"Run","","Center","Mud",NA,"",-72.3706915,42.4438616666667,"","iPad"
"2024-06-18 02:16:00","DICKEY","night",31,NA,"Riffle","","Center","Rock",NA,"Night",-72.371054,42.4437823333333,"","iPad"
"2024-06-18 02:29:00","DICKEY","night",38,NA,"Riffle","Root_bundle","Center","Rock",NA,"Night",-72.3702106666667,42.443014,"","iPad"
"2024-06-18 02:37:00","DICKEY","night",38,NA,"Run","","Center","Rock",NA,"Night",-72.3702548333333,42.4430216666667,"","iPad"
"2024-06-18 02:42:00","DICKEY","night",28,NA,"Run","","Right","Rock",NA,"Night",-72.3705373333333,42.443721,"","iPad"
"2024-06-18 02:46:00","DICKEY","night",37,NA,"Run","","Center","Rock",NA,"Night",-72.3705648333333,42.4437811666667,"","iPad"
"2024-06-18 02:59:00","DICKEY","night",46,NA,"Run","","Left","Pebble",NA,"Night",-72.3718211666667,42.4443708333333,"","iPad"
"2024-06-18 03:04:00","DICKEY","night",29,NA,"Pool","Woody_debris","Left","Sand",NA,"Night",-72.3720043333334,42.4443735,"Dead","iPad"
"2024-06-18 03:37:00","DICKEY","night",31,NA,"Riffle","","Center","Rock",NA,"Night",-72.3707546666667,42.4438445,"","iPad"
"2024-06-18 03:44:00","DICKEY","night",28,NA,"Riffle","","Center","Rock",NA,"Night",-72.3703091666667,42.4435676666667,"","iPad"
"2024-06-18 03:45:00","DICKEY","night",37,NA,"Glide","","Left","Rock",NA,"Night",-72.3703681666667,42.4435916666667,"","iPad"
"2024-06-18 03:58:00","DICKEY","night",38,NA,"Pool","","Center","Rock",NA,"Night",-72.3699716666667,42.4430505,"","iPad"
"2024-06-18 04:28:00","DICKEY","night",26,NA,"Run","","Center","Pebble",NA,"Lightly shaded",-72.3734891666667,42.444228,"","iPad"
"2024-06-18 04:52:00","DICKEY","night",46,NA,"Run","","Center","Pebble",NA,"Lightly shaded",-72.3718385,42.4442426666667,"Murky bits","iPad"
"2024-06-18 11:18:00","AMETHYST","day",59,NA,"Riffle","","Center","Boulder",NA,"Lightly shaded",-72.460529,42.3813733333333,"","iPad"
"2024-06-18 11:39:00","AMETHYST","day",19,NA,"Run","","Center","Boulder",NA,"Mostly shaded",-72.4604585,42.3813826666667,"","iPad"
