"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-07-09 07:30:00","UNDERHILL","day",41,NA,"Riffle","","Center",NA,"Rock","Fully shaded",-72.3244695,42.444884,"","iPad"
"2024-07-09 07:49:00","UNDERHILL","day",40,NA,"Riffle","Woody_debris","",NA,"Rock,Pebble","Mostly shaded",-72.3251268333333,42.445103,"","iPad"
"2024-07-09 07:57:00","UNDERHILL","day",34,NA,"Riffle","","Center",NA,"Rock","",-72.3264511666667,42.4453676666667,"","iPad"
"2024-07-09 08:08:00","UNDERHILL","day",33,NA,"Riffle","Undercut_bank","Right",NA,"Rock","Mostly shaded",-72.3262415,42.445333,"","iPad"
"2024-07-09 08:18:00","UNDERHILL","day",36,NA,"Pool","","Center",NA,"Rock,Pebble,Sand","Mostly shaded",-72.3275201666667,42.4462623333333,"Moved up from where we thought it might have died.","iPad"
"2024-07-09 08:25:00","UNDERHILL","day",27,NA,"Riffle","","Center",NA,"Rock","Mostly shaded",-72.3277965,42.4452068333333,"","iPad"
"2024-07-09 08:26:00","UNDERHILL","day",45,NA,"Riffle","","Center",NA,"Rock","",-72.327738,42.445154,"","iPad"
"2024-07-09 08:39:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Center",NA,"Rock","Mostly shaded",-72.3279938333333,42.44504,"","iPad"
"2024-07-09 08:52:00","UNDERHILL","day",35,NA,"Pool","","Center",NA,"Rock,Boulder","Mostly shaded",-72.3296243333333,42.4437278333333,"","iPad"
"2024-07-09 09:29:00","UNDERHILL","day",35,NA,"Pool","","Center",NA,"Rock","Mostly shaded",-72.3296048333333,42.4436966666667,"","iPad"
"2024-07-09 09:41:00","UNDERHILL","day",44,NA,"Pool","Woody_debris","Right",NA,"Rock","Mostly shaded",-72.3281301666667,42.4449076666667,"","iPad"
"2024-07-09 09:45:00","UNDERHILL","day",45,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.327629,42.4451095,"","iPad"
"2024-07-09 09:52:00","UNDERHILL","day",27,NA,"Riffle","","Right",NA,"Rock","Mostly shaded",-72.3275656666667,42.4451091666667,"","iPad"
"2024-07-09 09:59:00","UNDERHILL","day",36,NA,"Pool","","Center",NA,"Rock,Pebble","",-72.3275126666667,42.446366,"","iPad"
"2024-07-09 10:06:00","UNDERHILL","day",33,NA,"Riffle","","Center",NA,"Rock","",-72.326456,42.4453238333333,"","iPad"
"2024-07-09 10:16:00","UNDERHILL","day",34,NA,"","","",NA,"","",-72.326325,42.4453386666667,"34 and 33 together the first pass. 34 easier to read. 33 would blip and 34 would show up and not allow me To see signal for 33. This pass no 34 at all.","iPad"
