"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.06,16.51,"2024-08-08 08:25:54","day"
"BUFFAM",-2.36,17.82,"2024-08-08 17:48:04","night"
"DICKEY",0.14,19.91,"2024-08-09 10:56:13","day"
"DRY UPPER",0.25,17.18,"2024-08-07 08:20:43","day"
"DRY UPPER",-0.09,17.97,"2024-08-07 20:19:58","night"
"HARRIS",5.79,19.86,"2024-08-08 09:31:11","day"
"HARRIS",-4.5,20.16,"2024-08-08 19:45:08","night"
"UNDERHILL",0.04,20.53,"2024-08-06 08:06:36","day"
"UNDERHILL",-1.14,19.57,"2024-08-06 17:56:47","night"
"AMETHYST",5.85,18.185,NA,"day"
"AMETHYST",-6.86,18.99,NA,"night"
