"river","totalDischarge","flowTime_EST","shift"
"BUFFAM",0.02,"2024-06-26 10:42:10","day"
"BUFFAM",0.02,"2024-06-26 17:51:16","night"
"DICKEY",0.03,"2024-06-28 09:44:29","day"
"DICKEY",1.07,"2024-06-28 18:41:46","night"
"DRY UPPER",0.03,"2024-06-25 07:21:55","day"
"DRY UPPER",0.57,"2024-06-25 19:19:38","night"
"HARRIS",0.12,"2024-06-26 07:05:00","day"
"HARRIS",0.08,"2024-06-26 19:07:51","night"
"UNDERHILL",0.04,"2024-06-27 07:52:29","day"
"UNDERHILL",0.82,"2024-06-27 18:53:51","night"
"AMETHYST",0.14,NA,"day"
"AMETHYST",0.1,NA,"night"
