"tagID","power","dateTime","river","lon","lat","shift"
53,93,2024-06-25 18:53:37,"DRY UPPER",NA,NA,"night"
54,72,2024-06-25 18:53:39,"DRY UPPER",NA,NA,"night"
23,169,2024-06-25 22:50:34,"DRY UPPER",NA,NA,"night"
49,160,2024-06-25 22:50:35,"DRY UPPER",NA,NA,"night"
19,107,2024-06-26 05:23:35,"AMETHYST",NA,NA,"day"
59,104,2024-06-26 05:23:42,"AMETHYST",NA,NA,"day"
59,159,2024-06-26 05:32:42,"AMETHYST",NA,NA,"day"
18,135,2024-06-26 05:32:42,"AMETHYST",NA,NA,"day"
62,106,2024-06-26 05:32:43,"AMETHYST",NA,NA,"day"
59,120,2024-06-26 05:40:02,"AMETHYST",NA,NA,"day"
18,105,2024-06-26 05:40:02,"AMETHYST",NA,NA,"day"
57,105,2024-06-26 05:40:07,"AMETHYST",NA,NA,"day"
56,129,2024-06-26 05:40:15,"AMETHYST",NA,NA,"day"
19,116,2024-06-26 05:40:16,"AMETHYST",NA,NA,"day"
20,118,2024-06-26 05:40:52,"AMETHYST",NA,NA,"day"
56,153,2024-06-26 05:40:55,"AMETHYST",NA,NA,"day"
20,117,2024-06-26 05:41:12,"AMETHYST",NA,NA,"day"
14,131,2024-06-26 05:51:44,"AMETHYST",NA,NA,"day"
57,116,2024-06-26 05:51:47,"AMETHYST",NA,NA,"day"
18,147,2024-06-26 05:52:02,"AMETHYST",NA,NA,"day"
62,145,2024-06-26 05:52:02,"AMETHYST",NA,NA,"day"
14,132,2024-06-26 05:52:04,"AMETHYST",NA,NA,"day"
57,137,2024-06-26 05:52:07,"AMETHYST",NA,NA,"day"
19,133,2024-06-26 05:52:16,"AMETHYST",NA,NA,"day"
14,130,2024-06-26 05:52:24,"AMETHYST",NA,NA,"day"
57,134,2024-06-26 05:52:27,"AMETHYST",NA,NA,"day"
19,140,2024-06-26 05:52:36,"AMETHYST",NA,NA,"day"
18,124,2024-06-26 05:52:42,"AMETHYST",NA,NA,"day"
62,157,2024-06-26 05:52:42,"AMETHYST",NA,NA,"day"
14,121,2024-06-26 05:52:44,"AMETHYST",NA,NA,"day"
57,134,2024-06-26 05:52:46,"AMETHYST",NA,NA,"day"
14,126,2024-06-26 05:53:04,"AMETHYST",NA,NA,"day"
20,189,2024-06-26 06:04:52,"AMETHYST",NA,NA,"day"
20,168,2024-06-26 06:05:12,"AMETHYST",NA,NA,"day"
59,113,2024-06-26 06:05:22,"AMETHYST",NA,NA,"day"
20,169,2024-06-26 06:05:32,"AMETHYST",NA,NA,"day"
19,154,2024-06-26 06:42:56,"AMETHYST",NA,NA,"day"
18,149,2024-06-26 06:43:02,"AMETHYST",NA,NA,"day"
62,130,2024-06-26 06:43:02,"AMETHYST",NA,NA,"day"
14,146,2024-06-26 06:43:04,"AMETHYST",NA,NA,"day"
60,94,2024-06-26 07:16:20,"AMETHYST",NA,NA,"day"
62,79,2024-06-26 07:16:22,"AMETHYST",NA,NA,"day"
14,81,2024-06-26 07:16:24,"AMETHYST",NA,NA,"day"
57,73,2024-06-26 07:16:26,"AMETHYST",NA,NA,"day"
56,65,2024-06-26 07:16:35,"AMETHYST",NA,NA,"day"
60,88,2024-06-26 07:16:40,"AMETHYST",NA,NA,"day"
59,76,2024-06-26 07:16:41,"AMETHYST",NA,NA,"day"
18,64,2024-06-26 07:16:42,"AMETHYST",NA,NA,"day"
14,87,2024-06-26 07:16:44,"AMETHYST",NA,NA,"day"
57,75,2024-06-26 07:16:46,"AMETHYST",NA,NA,"day"
56,66,2024-06-26 07:16:55,"AMETHYST",NA,NA,"day"
19,76,2024-06-26 07:16:56,"AMETHYST",NA,NA,"day"
60,82,2024-06-26 07:17:00,"AMETHYST",NA,NA,"day"
59,79,2024-06-26 07:17:01,"AMETHYST",NA,NA,"day"
18,76,2024-06-26 07:17:02,"AMETHYST",NA,NA,"day"
62,83,2024-06-26 07:17:02,"AMETHYST",NA,NA,"day"
14,79,2024-06-26 07:17:04,"AMETHYST",NA,NA,"day"
57,78,2024-06-26 07:17:06,"AMETHYST",NA,NA,"day"
56,65,2024-06-26 07:17:15,"AMETHYST",NA,NA,"day"
19,71,2024-06-26 07:17:16,"AMETHYST",NA,NA,"day"
60,81,2024-06-26 07:17:20,"AMETHYST",NA,NA,"day"
59,77,2024-06-26 07:17:21,"AMETHYST",NA,NA,"day"
