"trackedTime_EST","river","shift","tagID","power","lon","lat","source"
2024-07-16 05:10:38,"DICKEY","day",37,71,NA,NA,"receiver"
2024-07-16 06:52:51,"DICKEY","day",31,132,NA,NA,"receiver"
2024-07-16 08:12:34,"DICKEY","day",32,76,NA,NA,"receiver"
2024-07-16 08:12:35,"DICKEY","day",38,111,NA,NA,"receiver"
2024-07-16 13:06:08,"DICKEY","night",31,133,NA,NA,"receiver"
2024-07-16 13:06:28,"DICKEY","night",31,122,NA,NA,"receiver"
2024-07-16 13:06:48,"DICKEY","night",31,176,NA,NA,"receiver"
2024-07-16 13:07:08,"DICKEY","night",31,177,NA,NA,"receiver"
2024-07-16 13:07:28,"DICKEY","night",31,179,NA,NA,"receiver"
2024-07-16 13:07:48,"DICKEY","night",31,190,NA,NA,"receiver"
2024-07-16 13:08:08,"DICKEY","night",31,190,NA,NA,"receiver"
2024-07-16 14:23:27,"DICKEY","night",31,171,NA,NA,"receiver"
2024-07-16 16:29:51,"DICKEY","night",32,167,NA,NA,"receiver"
2024-07-16 16:32:11,"DICKEY","night",32,199,NA,NA,"receiver"
2024-07-17 03:43:54,"AMETHYST","day",18,73,NA,NA,"receiver"
2024-07-17 03:43:55,"AMETHYST","day",62,84,NA,NA,"receiver"
2024-07-17 03:43:55,"AMETHYST","day",14,79,NA,NA,"receiver"
2024-07-17 06:37:42,"AMETHYST","day",56,60,NA,NA,"receiver"
2024-07-17 07:41:13,"AMETHYST","day",60,143,NA,NA,"receiver"
2024-07-17 13:27:09,"AMETHYST","night",57,161,NA,NA,"receiver"
2024-07-17 13:27:11,"AMETHYST","night",62,160,NA,NA,"receiver"
2024-07-17 13:27:29,"AMETHYST","night",57,159,NA,NA,"receiver"
2024-07-17 13:27:31,"AMETHYST","night",62,161,NA,NA,"receiver"
2024-07-18 11:18:09,"DRY UPPER","night",42,99,NA,NA,"receiver"
2024-07-18 11:18:10,"DRY UPPER","night",22,110,NA,NA,"receiver"
2024-07-18 11:18:10,"DRY UPPER","night",24,118,NA,NA,"receiver"
2024-07-18 11:18:12,"DRY UPPER","night",46,154,NA,NA,"receiver"
2024-07-18 11:18:20,"DRY UPPER","night",39,155,NA,NA,"receiver"
2024-07-18 11:18:21,"DRY UPPER","night",30,177,NA,NA,"receiver"
2024-07-18 11:18:29,"DRY UPPER","night",29,138,NA,NA,"receiver"
2024-07-18 11:18:30,"DRY UPPER","night",22,92,NA,NA,"receiver"
2024-07-18 11:18:30,"DRY UPPER","night",24,101,NA,NA,"receiver"
2024-07-18 11:18:32,"DRY UPPER","night",46,143,NA,NA,"receiver"
2024-07-18 11:18:40,"DRY UPPER","night",39,165,NA,NA,"receiver"
2024-07-18 11:18:41,"DRY UPPER","night",30,190,NA,NA,"receiver"
2024-07-18 11:18:48,"DRY UPPER","night",42,99,NA,NA,"receiver"
2024-07-18 11:18:49,"DRY UPPER","night",29,153,NA,NA,"receiver"
2024-07-18 11:18:50,"DRY UPPER","night",22,99,NA,NA,"receiver"
2024-07-18 11:18:50,"DRY UPPER","night",24,118,NA,NA,"receiver"
2024-07-18 11:18:52,"DRY UPPER","night",46,157,NA,NA,"receiver"
2024-07-18 11:19:00,"DRY UPPER","night",39,175,NA,NA,"receiver"
2024-07-18 11:19:01,"DRY UPPER","night",30,158,NA,NA,"receiver"
2024-07-18 11:19:09,"DRY UPPER","night",42,102,NA,NA,"receiver"
2024-07-18 11:19:10,"DRY UPPER","night",22,106,NA,NA,"receiver"
2024-07-18 11:19:10,"DRY UPPER","night",24,114,NA,NA,"receiver"
2024-07-18 11:19:12,"DRY UPPER","night",46,164,NA,NA,"receiver"
2024-07-18 11:19:21,"DRY UPPER","night",30,140,NA,NA,"receiver"
2024-07-18 11:19:28,"DRY UPPER","night",42,99,NA,NA,"receiver"
2024-07-18 11:19:29,"DRY UPPER","night",29,155,NA,NA,"receiver"
2024-07-18 11:19:30,"DRY UPPER","night",22,172,NA,NA,"receiver"
2024-07-18 11:19:30,"DRY UPPER","night",24,115,NA,NA,"receiver"
2024-07-18 11:19:32,"DRY UPPER","night",46,147,NA,NA,"receiver"
2024-07-18 11:19:41,"DRY UPPER","night",39,142,NA,NA,"receiver"
2024-07-18 11:19:42,"DRY UPPER","night",30,142,NA,NA,"receiver"
2024-07-18 11:19:48,"DRY UPPER","night",42,90,NA,NA,"receiver"
2024-07-18 11:19:49,"DRY UPPER","night",29,112,NA,NA,"receiver"
2024-07-18 11:19:50,"DRY UPPER","night",22,207,NA,NA,"receiver"
2024-07-18 11:19:50,"DRY UPPER","night",24,100,NA,NA,"receiver"
2024-07-18 11:19:52,"DRY UPPER","night",46,145,NA,NA,"receiver"
2024-07-18 11:20:01,"DRY UPPER","night",39,142,NA,NA,"receiver"
2024-07-18 11:20:02,"DRY UPPER","night",30,144,NA,NA,"receiver"
2024-07-18 11:20:08,"DRY UPPER","night",42,100,NA,NA,"receiver"
2024-07-18 11:20:10,"DRY UPPER","night",22,136,NA,NA,"receiver"
2024-07-18 11:20:10,"DRY UPPER","night",24,113,NA,NA,"receiver"
2024-07-18 11:20:12,"DRY UPPER","night",46,147,NA,NA,"receiver"
2024-07-18 11:20:21,"DRY UPPER","night",39,137,NA,NA,"receiver"
2024-07-18 11:20:22,"DRY UPPER","night",30,144,NA,NA,"receiver"
2024-07-18 11:20:29,"DRY UPPER","night",29,146,NA,NA,"receiver"
2024-07-18 11:20:30,"DRY UPPER","night",22,127,NA,NA,"receiver"
2024-07-18 11:20:30,"DRY UPPER","night",24,109,NA,NA,"receiver"
2024-07-18 11:20:32,"DRY UPPER","night",46,153,NA,NA,"receiver"
2024-07-18 11:20:40,"DRY UPPER","night",39,136,NA,NA,"receiver"
2024-07-18 11:20:41,"DRY UPPER","night",30,142,NA,NA,"receiver"
2024-07-18 11:20:48,"DRY UPPER","night",42,98,NA,NA,"receiver"
2024-07-18 11:20:49,"DRY UPPER","night",29,150,NA,NA,"receiver"
2024-07-18 11:20:50,"DRY UPPER","night",24,93,NA,NA,"receiver"
2024-07-18 11:20:53,"DRY UPPER","night",46,146,NA,NA,"receiver"
2024-07-18 11:21:00,"DRY UPPER","night",39,136,NA,NA,"receiver"
2024-07-18 11:21:08,"DRY UPPER","night",42,103,NA,NA,"receiver"
2024-07-18 11:21:10,"DRY UPPER","night",29,145,NA,NA,"receiver"
2024-07-18 11:21:11,"DRY UPPER","night",22,130,NA,NA,"receiver"
2024-07-18 11:21:11,"DRY UPPER","night",24,95,NA,NA,"receiver"
2024-07-18 11:21:13,"DRY UPPER","night",46,148,NA,NA,"receiver"
2024-07-18 11:21:20,"DRY UPPER","night",39,135,NA,NA,"receiver"
2024-07-18 11:21:21,"DRY UPPER","night",30,138,NA,NA,"receiver"
2024-07-18 11:21:28,"DRY UPPER","night",42,102,NA,NA,"receiver"
